Company Name,Website,Description,Primary Industry,HQ City,HQ State,Founded Year,Total Raised ($M),Last Funding Type,Last Funding Date,Last Funding Amount ($M),Number of Rounds,Lead Investors,Employee Count,Revenue Range,Number of Founders,Founder Names,Prior Exits
Luminary Health,luminaryhealth.com,AI-powered benefits navigation platform that helps employees find and use mental health coverage,Health Tech,Austin,TX,2021,12.4,Series A,2024-03-15,10.0,2,"Andreessen Horowitz, Founders Fund",48,$1M-$5M,2,"Sarah Chen, Marcus Webb",1
Stackwise,stackwise.io,Inventory intelligence platform for mid-market retail and e-commerce brands using ML demand forecasting,B2B SaaS,Denver,CO,2022,3.8,Seed,2024-01-22,3.5,1,"Initialized Capital",19,$500K-$1M,3,"David Park, Riya Patel, Tom Nguyen",0
Verdant Foods,verdantfoods.com,Plant-based protein snack brand distributed across 8000+ natural and conventional grocery locations,Consumer Food,Phoenix,AZ,2020,31.2,Series B,2023-11-08,18.0,3,"Sonoma Brands, Beechwood Capital",112,$10M-$25M,2,"Camille Torres, Jack Stein",0
Pathlight Analytics,pathlightanalytics.com,Revenue intelligence tool that surfaces deal risk and rep performance gaps for mid-market sales teams,B2B SaaS,San Francisco,CA,2021,9.5,Series A,2024-02-01,8.0,2,"Bessemer Venture Partners",37,$1M-$5M,2,"Amir Hassan, Priya Nair",0
Crux Energy,cruxenergy.com,Software platform enabling community solar project financing and subscriber management for utilities,Climate Tech,Boulder,CO,2022,4.2,Seed,2024-04-10,4.0,1,"Congruent Ventures",14,$500K-$1M,2,"Lena Fischer, Omar Khalil",0
Modera,modera.co,Creator monetization platform combining subscription commerce with community tools for mid-tier creators,Creator Economy,Los Angeles,CA,2021,16.5,Series A,2023-09-20,12.0,2,"Lightspeed Venture Partners",61,$5M-$10M,3,"Nina Liu, Caleb Brooks, Tara Singh",1
Trellis Commerce,trelliscommerce.dev,Headless commerce API infrastructure enabling brands to run storefronts across any surface or channel,Commerce Infrastructure,New York,NY,2022,2.8,Seed,2023-12-05,2.5,1,"Y Combinator",11,$250K-$500K,2,"Ben Hartman, Zoey Kim",0
NovaCare Dental,novacaredental.com,DSO platform consolidating independent dental practices with shared back-office and clinical ops tech,Healthcare Services,Scottsdale,AZ,2019,58.0,Series B,2023-08-14,30.0,4,"General Atlantic",310,$25M-$50M,2,"Dr. Ryan Moore, Alicia Grant",1
Fieldstone,fieldstone.ag,Digital marketplace connecting independent farmers directly to regional food distributors,AgriTech,Tucson,AZ,2022,1.5,Seed,2023-10-30,1.5,1,"Cultivian Sandbox",8,$100K-$250K,3,"Hannah Brooks, Marcus Lee, Jonah White",0
Axiom Compliance,axiomcompliance.io,RegTech platform automating AML and KYC workflows for community banks and credit unions,Fintech,Chicago,IL,2020,13.2,Series A,2024-01-15,9.0,2,"QED Investors",55,$5M-$10M,2,"Sandra Wu, Patrick Olson",1
Helio Insurance,helioinsurance.com,Embedded insurance infrastructure letting SaaS platforms offer white-label coverage to their customers,Insurtech,Austin,TX,2021,7.8,Seed,2024-03-28,6.0,2,"Ribbit Capital",28,$1M-$5M,2,"Alex Rivera, Mia Thompson",0
Groundwork AI,groundwork.ai,Construction site monitoring platform using computer vision to flag safety violations in real time,AI/ML,Salt Lake City,UT,2022,5.5,Seed,2024-02-18,5.0,1,"Lux Capital",21,$500K-$1M,2,"Tyler Nash, Wei Zhang",0
Petal Logistics,petallogistics.com,Last-mile delivery optimization for regional grocery chains using dynamic route planning,Supply Chain,Dallas,TX,2020,19.0,Series A,2023-07-12,14.0,3,"Insight Partners",83,$5M-$10M,3,"Carlos Mendez, Amy Chu, Derek Ross",0
Cipher Security,ciphersecurity.io,Identity threat detection platform for cloud-native companies using behavioral ML,Cybersecurity,Seattle,WA,2021,11.0,Series A,2024-04-02,9.5,2,"Forgepoint Capital",44,$1M-$5M,2,"James Okafor, Leila Nazari",1
Bloom Wellness,bloomwellness.app,Personalized women's hormonal health platform combining wearable data with telehealth and supplements,Femtech,Miami,FL,2022,4.6,Seed,2024-01-30,4.0,1,"Female Founders Fund",17,$500K-$1M,2,"Dr. Sofia Reyes, Chloe Evans",0
Cobalt Robotics,cobaltautomation.com,Autonomous material handling robots for light industrial warehouses with a robotics-as-a-service model,Robotics,San Jose,CA,2020,42.5,Series B,2023-06-22,25.0,3,"Eclipse Ventures",175,$10M-$25M,2,"Leo Chen, Aaron Park",1
Meridian Real Estate AI,meridianreai.com,Underwriting automation platform for commercial real estate lenders using document AI and comps analysis,PropTech,Phoenix,AZ,2022,3.2,Seed,2024-05-01,3.0,1,"5th Wall",13,$500K-$1M,2,"Rachel Stone, Dion Watts",0
Nourish School Meals,nourishmeals.com,Farm-to-school meal procurement software connecting districts with local food suppliers,EdTech/FoodTech,Denver,CO,2021,2.1,Seed,2023-11-15,2.0,1,"Obvious Ventures",9,$250K-$500K,2,"Abby Foster, Chris Lane",0
